ID,name,namespace,definition
GO:0002218,activation of innate immune response,biological_process,Any process that initiates an innate immune response. Innate immune responses are defense responses mediated by germline encoded components that directly recognize components of potential pathogens. Examples of this process include activation of the hypersensitive response of Arabidopsis thaliana and activation of any NOD or TLR signaling pathway in vertebrate species.
GO:0002220,innate immune response activating cell surface receptor signaling pathway,biological_process,Any series of molecular signals leading to activation of the innate immune response generated as a consequence of binding to a cell surface receptor.
GO:0002225,positive regulation of antimicrobial peptide production,biological_process,"Any process that activates or increases the frequency, rate, or extent of antimicrobial peptide production."
GO:0002227,innate immune response in mucosa,biological_process,Any process of the innate immune response that takes place in the mucosal tissues.
GO:0002230,positive regulation of defense response to virus by host,biological_process,"Any host process that results in the promotion of antiviral immune response mechanisms, thereby limiting viral replication."
GO:0002253,activation of immune response,biological_process,Any process that initiates an immune response.
GO:0002758,innate immune response-activating signal transduction,biological_process,"A series of molecular signals generated as a consequence of a pathogen or microbial effector binding to a plant 'resistance-gene' receptor to activate a plant immune response, usually plant-type hypersensitive response."
GO:0002759,regulation of antimicrobial humoral response,biological_process,"Any process that modulates the frequency, rate, or extent of an antimicrobial humoral response."
GO:0002760,positive regulation of antimicrobial humoral response,biological_process,"Any process that activates or increases the frequency, rate, or extent of an antimicrobial humoral response."
GO:0002766,innate immune response-inhibiting signal transduction,biological_process,"The cascade of processes by which a signal interacts with a receptor, causing a change in the level or activity of a second messenger or other downstream target, and ultimately leading to inhibition of an innate immune response."
GO:0002775,antimicrobial peptide production,biological_process,"The synthesis or release of an antimicrobial peptide during an immune response, resulting in an increase in intracellular or extracellular levels. Such peptides may have protective properties against bacteria, fungi, viruses, or protozoa."
GO:0002776,antimicrobial peptide secretion,biological_process,"The regulated release of an antimicrobial peptide from a cell or a tissue. Such peptides may have protective properties against bacteria, fungi, viruses, or protozoa."
GO:0002777,antimicrobial peptide biosynthetic process,biological_process,"The chemical reactions and pathways resulting in the formation of an antimicrobial peptide. Such peptides may have protective properties against bacteria, fungi, viruses, or protozoa."
GO:0002778,antibacterial peptide production,biological_process,"The synthesis or release of an antibacterial peptide during an immune response, resulting in an increase in intracellular or extracellular levels."
