"ID","name","namespace","definition"
"GO:0001776","leukocyte homeostasis","biological_process","The process of regulating the proliferation and elimination of cells of the immune system such that the total number of cells of a particular cell type within a whole or part of an organism is stable over time in the absence of an outside stimulus."
"GO:0001783","B cell apoptotic process","biological_process","Any apoptotic process in a B cell, a lymphocyte of B lineage with the phenotype CD19-positive and capable of B cell mediated immunity."
"GO:0001802","type III hypersensitivity","biological_process","An inflammatory response resulting from recognition of immune complexes via complement or Fc receptors on effector cells leading to activation of neutrophils and other leukocytes and damage to bystander tissue."
"GO:0001820","serotonin secretion","biological_process","The regulated release of serotonin by a cell. Serotonin (5-hydroxytryptamine, or 5-HT) is a monoamine synthesised in serotonergic neurons in the central nervous system, enterochromaffin cells in the gastrointestinal tract and some immune system cells."
"GO:0001846","opsonin binding","molecular_function","Interacting selectively and non-covalently with an opsonin, such as a complement component or antibody, deposited on the surface of a bacteria, virus, immune complex, or other particulate material."
"GO:0001867","complement activation, lectin pathway","biological_process","Any process involved in the activation of any of the steps of the lectin pathway of the complement cascade which allows for the direct killing of microbes and the regulation of other immune processes."
"GO:0001873","polysaccharide immune receptor activity","molecular_function","Combining with a polysaccharide and transmitting the signal to initiate an innate immune response. A polysaccharide is a polymer of many (typically more than 10) monosaccharide residues linked glycosidically."
"GO:0001874","(1->3)-beta-D-glucan immune receptor activity","molecular_function","Combining with (1->3)-beta-D-glucans to initiate an innate immune response."
"GO:0001875","lipopolysaccharide immune receptor activity","molecular_function","Combining with a lipopolysaccharide and transmitting the signal across the cell membrane to initiate an innate immune response. Lipopolysaccharides (LPS) are major components of the outer membrane of Gram-negative bacteria, making them prime targets for recognition by the immune system."
"GO:0001877","lipoarabinomannan immune receptor activity","molecular_function","Combining with lipoarabinomannan and transmitting the signal to initiate an innate immune response."
"GO:0001931","uropod","cellular_component","A membrane projection with related cytoskeletal components at the trailing edge of a cell in the process of migrating or being activated, found on the opposite side of the cell from the leading edge or immunological synapse, respectively."
"GO:0002124","territorial aggressive behavior","biological_process","Aggressive behavior performed in defence of a fixed area against intruders, typically conspecifics."
"GO:0002200","somatic diversification of immune receptors","biological_process","The somatic process allowing for the production of immune receptors whose specificity is not encoded in the germline genomic sequences."
