"ID","name","namespace","definition"
"GO:0000073","initial mitotic spindle pole body separation","biological_process","The release of duplicated mitotic spindle pole bodies (SPBs) that begins with the nucleation of microtubules from each SPB within the nucleus, leading to V-shaped spindle microtubules. Interpolar microtubules that elongate from each pole are interconnected, forming overlapping microtubules. Capturing and antiparallel sliding apart of microtubules promotes the initial separation of the SPB."
"GO:0000102","L-methionine secondary active transmembrane transporter activity","molecular_function","Enables the transfer of L-methionine from one side of a membrane to the other, up its concentration gradient. The transporter binds the solute and undergoes a series of conformational changes. Transport works equally well in either direction and is driven by a chemiosmotic source of energy. Secondary active transporters include symporters and antiporters."
"GO:0000227","oxaloacetate secondary active transmembrane transporter activity","molecular_function","Enables the transfer of oxaloacetate from one side of a membrane to the other, up its concentration gradient. The transporter binds the solute and undergoes a series of conformational changes. Transport works equally well in either direction and is driven by a chemiosmotic source of energy. Secondary active transporters include symporters and antiporters."
"GO:0000343","plastid-encoded plastid RNA polymerase complex A","cellular_component","A plastid-encoded DNA-directed RNA polymerase complex that resembles eubacterial multisubunit RNA polymerases, with a core composed of alpha, beta, and beta-prime subunits. An additional subunit, a sigma factor, is required for promoter recognition. PEP-A is generated from the PEP-B form during chloroplast maturation to generate a complex composed of at least thirteen polypeptides that is not sensitive to the antibiotic rifampicin, like its precursor form the PEP-B complex."
"GO:0000344","plastid-encoded plastid RNA polymerase complex B","cellular_component","A plastid-encoded DNA-directed RNA polymerase complex that resembles eubacterial multisubunit RNA polymerases with a core composed of alpha, beta, and beta-prime subunits. An additional subunit, a sigma factor, is required for promoter recognition. PEP-B is distinguished from PEP-A by its sensitivity to the antibiotic rifampicin. PEP-B is found in both etioplasts and chloroplasts, but is the predominate form in etioplasts. It forms the core of the PEP-A form; the conversion from PEP-B to PEP-A occurs during chloroplast maturation."
"GO:0000914","phragmoplast assembly","biological_process","The formation of a structure composed of actin, myosin, and associated proteins that will function in cytokinesis in cells that perform cytokinesis by cell plate formation. The structure usually contains antiparallel microtubules and membrane (often visible as vesicles)."
"GO:0000939","condensed chromosome inner kinetochore","cellular_component","The region of a condensed chromosome kinetochore closest to centromeric DNA; in mammals the CREST antigens (CENP proteins) are found in this layer; this layer may help define underlying centromeric chromatin structure and position of the kinetochore on the chromosome."
"GO:0001072","transcription antitermination factor activity, RNA binding","molecular_function","Binds to RNA, typically within the nascent RNA transcript, to promote readthrough of a transcription termination site and thus extending the length of the RNA transcript produced. Examples of antitermination factors which bind the nascent RNA include the lambda N protein and the HIV-1 tat protein."
"GO:0001073","transcription antitermination factor activity, DNA binding","molecular_function","Binds to DNA, typically within region of the promoter and transcribed region, to promote readthrough of a transcription termination site and thus extending the length of the RNA transcript produced. Examples of antitermination factors which bind DNA include the lambda Q protein."
"GO:0001717","conversion of seryl-tRNAsec to selenocys-tRNAsec","biological_process","The modification process that results in the conversion of serine, carried by a specialized tRNA(ser) (which can read a UGA anticodon), to selenocysteine."
