length,count
20,1131
13,1119
12,912
18,873
15,855
14,677
19,559
21,550
17,549
11,541
24,480
25,437
16,430
26,372
29,350
30,350
37,333
23,333
22,326
27,296
33,285
28,285
35,256
36,244
46,215
44,212
31,199
32,180
40,179
66,178
38,175
71,173
63,172
74,165
51,161
39,158
75,154
47,145
76,142
45,141
42,140
70,139
67,138
72,133
34,131
64,130
41,128
43,127
50,123
48,111
62,109
65,97
61,95
60,95
94,93
55,92
68,91
69,91
88,90
78,89
49,85
57,83
84,83
93,82
52,82
73,78
53,75
77,74
80,72
59,71
56,69
79,68
58,66
91,64
96,61
82,58
90,58
92,58
95,57
83,57
86,55
87,54
54,50
89,48
85,46
100,46
81,44
310,43
98,38
318,38
148,36
316,32
129,32
97,32
99,30
481,30
144,29
281,23
419,23
276,22
632,21
255,18
102,17
147,17
624,17
433,17
374,16
334,16
103,15
269,15
167,14
405,13
101,13
413,12
342,12
274,12
272,12
268,12
145,12
113,12
332,11
266,11
126,11
131,11
251,10
106,10
137,10
322,10
259,10
121,10
127,10
343,10
401,10
130,10
105,9
122,9
171,9
429,9
116,9
104,9
311,9
262,9
128,9
337,8
120,8
300,8
418,8
361,8
273,8
265,8
626,8
495,7
198,7
328,7
173,7
123,7
354,7
277,7
117,7
233,7
163,7
487,7
114,7
691,6
331,6
191,6
314,6
159,6
324,6
138,6
858,6
202,6
1263,6
247,6
317,6
124,6
339,6
146,6
309,6
164,6
156,6
234,6
107,6
179,6
112,6
134,6
236,5
271,5
302,5
291,5
289,5
207,5
308,5
213,5
333,5
166,5
367,5
110,5
139,5
444,5
412,5
109,5
108,5
149,5
477,5
154,5
155,5
1256,5
345,5
335,5
359,4
327,4
329,4
264,4
336,4
470,4
267,4
338,4
341,4
467,4
1335,4
299,4
350,4
352,4
484,4
486,4
1257,4
368,4
279,4
287,4
321,4
449,4
212,4
192,4
231,4
180,4
181,4
249,4
187,4
158,4
241,4
190,4
222,4
119,4
141,4
220,4
205,4
133,4
522,4
183,3
347,3
178,3
456,3
200,3
206,3
330,3
188,3
1259,3
494,3
588,3
250,3
172,3
142,3
111,3
443,3
118,3
432,3
136,3
140,3
629,3
407,3
143,3
216,3
387,3
385,3
160,3
1149,3
162,3
165,3
168,3
169,3
170,3
185,3
235,3
246,3
278,3
270,3
242,3
243,3
225,3
288,3
232,3
217,3
248,3
256,2
240,2
151,2
628,2
152,2
153,2
500,2
647,2
157,2
239,2
403,2
1146,2
447,2
564,2
619,2
237,2
373,2
371,2
214,2
400,2
692,2
554,2
244,2
428,2
427,2
426,2
634,2
423,2
633,2
132,2
257,2
551,2
415,2
258,2
260,2
261,2
254,2
1250,2
245,2
856,2
408,2
1266,2
210,2
590,2
223,2
189,2
290,2
362,2
221,2
194,2
195,2
1463,2
197,2
323,2
186,2
293,2
203,2
294,2
497,2
523,2
295,2
296,2
1264,2
208,2
1278,2
1275,2
1255,2
177,2
174,2
1388,2
351,2
176,2
349,2
184,2
280,2
517,2
358,2
227,2
1347,2
283,2
182,2
275,2
312,2
357,2
658,1
636,1
607,1
576,1
598,1
639,1
618,1
635,1
589,1
602,1
582,1
592,1
625,1
595,1
611,1
630,1
1368,1
676,1
1248,1
1254,1
1258,1
1261,1
1270,1
1358,1
1361,1
1367,1
1373,1
1374,1
1377,1
1395,1
1401,1
1418,1
1467,1
1522,1
1564,1
1619,1
2237,1
2319,1
1253,1
1237,1
678,1
1233,1
689,1
690,1
697,1
702,1
708,1
710,1
716,1
777,1
808,1
836,1
843,1
881,1
890,1
898,1
983,1
984,1
1000,1
1006,1
1122,1
574,1
285,1
563,1
360,1
313,1
315,1
319,1
320,1
325,1
326,1
344,1
348,1
355,1
364,1
298,1
365,1
376,1
377,1
379,1
380,1
382,1
383,1
384,1
389,1
303,1
297,1
556,1
209,1
115,1
125,1
135,1
150,1
175,1
193,1
196,1
199,1
204,1
211,1
286,1
226,1
229,1
230,1
238,1
252,1
253,1
263,1
282,1
284,1
393,1
394,1
397,1
490,1
469,1
471,1
472,1
476,1
480,1
482,1
483,1
485,1
488,1
493,1
399,1
498,1
499,1
511,1
518,1
521,1
529,1
531,1
532,1
548,1
468,1
465,1
464,1
462,1
404,1
406,1
409,1
410,1
414,1
421,1
422,1
425,1
430,1
431,1
437,1
438,1
439,1
440,1
446,1
448,1
455,1
460,1
461,1
2337,1
